PaisAccidente,Fecha,OperadorAerolinea,TipoAeronave,PasajerosABordo,TripulacionABordo,CantidadFallecidos,MuertesPasajeros,MuertesTripulacion
 India,1938-03-07,Air France,Potez 621,3,4,7,3,4
 France,1938-03-23,Air France,Dewoitine D-338,5,3,8,5,3
 Italy,1938-04-30,Ala Littoria,Junkers JU-52,14,5,19,14,5
 Mexico,1938-05-05,Lineas Aéreas Mineras,Lockheed Vega 5B,5,1,1,5,1
 California,1938-05-16,Northwest Orient Airlines,Lockheed 14-H2 Super Electra,7,2,9,7,2
 Brazil,1938-05-22,Cruzeiro do Sul,Junkers JU-52/3m,14,3,6,6,0
 Ohio,1938-05-24,United Air Lines,Douglas DST-A-207A,7,3,10,7,3
 Germany,1938-05-27,Deutsche Lufthansa,Heinkel 116,0,3,3,0,3
 Tanzania,1938-06-08,Wilson Airways,De Havilland DH-85,1,2,3,1,2
 Montana,1938-07-08,Northwest Orient Airlines,Lockheed 14 Super Electra,8,2,1,1,0
 Italy,1938-07-14,Ala Littoria,Savoia Marchetti S-66,16,4,20,16,4
 Romania,1938-07-22,LOT Polish Airlines,Lockheed 14H Super Electra,12,2,14,12,2
 Kenya,1938-07-27,Imperial Airways,Armstrong-Withworth Atlanta,0,4,4,0,4
 Hungary,1938-08-10,Magyar Legiforagalmi,Ford Tri-motor F-VIII,10,2,12,10,2
 Japan,1938-08-10,Dai Nippon,Douglas DF-151,3,3,6,3,3
 VeraCruz,1938-08-12,Mexicana,Lockheed 10E Electra,8,3,11,8,3
 Germany,1938-08-13,CSA Czech Airlines,Savoia-Marchetti SM73,14,3,16,13,3
 Brazil,1938-08-15,Syndicato Condor,Junkers JU-52/3m,5,4,9,5,4
 Romania,1938-08-18,LOT Polish Airlines,Lockheed 14 Super Electra,4,3,0,0,0
 Italy,1938-08-18,Macchi,Macchi C-94,13,2,15,13,2
 China,1938-08-24,China National Aviation Corporation,Douglas DC-2,13,4,14,12,2
 New Mexico,1938-08-29,Transcontinental &Western Air,Ford Tri-motor,8,3,0,0,0
 Australia,1938-08-29,North Queensland Airways,De Havilland DH-84,8,1,5,4,1
 Gambia,1938-10-01,Deutsche Lufthansa,Dornier DO.18 (float plane),0,4,4,0,4
 Switzerland,1938-10-01,Deutsche Lufthansa,Junkers JU-52/3m,10,3,13,10,3
 Germany,1938-10-10,Sabena,Savbia-Marchetti  S-73P,16,4,20,16,4
 Australia,1938-10-25,Australian National Airways,Douglas DC-2-112,14,4,18,14,4
 Jersey,1938-11-04,Jersey Airways,de Havilland DH-86,13,1,14,13,1
 Amsterdam,1938-11-14,KLM Royal Dutch Airlines,Douglas DC-3,14,5,6,2,4
 Saskatchewan,1938-11-18,Trans Canada Air Lines,Lockheed 14 Electra,0,2,2,0,2
 Gambia,1938-11-26,Deutsche Lufthansa,Junkers JU90V2,10,5,12,9,3
 Iraq,1938-11-27,Imperial Airways,Short Empire Flying Boat,0,6,4,0,4
 California,1938-11-29,United Air Lines,Douglas DC 3-A-SB-3-G-14,4,3,5,3,2
 Mexico,1938-12-02,Mexicana,Lockheed 10E Electra,5,3,8,5,3
 Okinawa,1938-12-08,Japan Aviation Corporation,Nakajima A-T2,12,3,10,7,3
 Netherlands,1938-12-09,KLM Royal Dutch Airlines,Lockheed 14-WF62 Super Electra,0,4,4,0,4
 France,1939-01-07,Swissair,Douglas DC-2-115B,12,5,5,2,3
 Brazil,1939-01-13,Syndicato Condor,Junkers JU-52/3m,7,3,10,7,3
 Montana,1939-01-13,Northwest Orient Airlines,Lockheed 14-H Super Electra,2,2,4,2,2
 Australia,1939-01-18,Guinea Airways,Lockheed 14 Electra,1,3,4,1,3
 Alaska,1939-02-12,Marine Airways,Fairchild 71(amphibious),5,1,6,5,1
 France,1939-02-24,Deutsche Lufthansa,Junkers JU-52/3m,6,4,10,6,4
 Belgium,1939-03-14,Sabena,Junkers JU-52,0,3,3,0,3
 Washington,1939-03-18,Boeing Aircraft Company,Boeing 307 Stratoliner,8,2,10,8,2
 Oklahoma,1939-03-26,Braniff Airlines,Douglas DC-2-112,9,3,8,7,1
 Mozambique,1939-05-01,Imperial Airways,Short S-23 Empire Flying Boat,0,4,2,0,2
 Morocco,1939-05-02,Air France,Dewoitine D-338,6,3,9,6,3
 Amsterdam,1939-06-06,KLM Royal Duch Airlines,Douglas DC-2,0,4,0,0,0
 The Netherlands,1939-06-10,KLM Royal Dutch Airlines,Koolhoven FK.43,1,2,3,1,2
 Switzerland,1939-07-20,Swissair,Junkers JU86 Z-2,4,2,6,4,2
 Spain,1939-08-04,Deutsche Lufthansa,Junkers JU-52/3m,4,3,7,4,3
 Brazil,1939-08-13,Pan American World Airways,Sikorsky S43 (flying boat),12,4,14,10,4
 Denmark,1939-08-15,British Airways,Lockheed 10 Electra,4,2,5,4,1
 India,1939-08-28,Indian National Airways,De Havilland D-84,1,1,2,1,1
 Germany,1939-08-30,Deutsche Lufthansa,Junkers JU-52/3m,4,3,7,4,3
 Morocco,1939-12-24,Linee Aeree Italiane,Savoia-Marchetti SM83,3,4,7,3,4
 Indonesia,1940-01-22,KNILM,Lockheed 14 Super Electra,5,4,8,5,3
 Italy,1940-02-10,Ala Littoria SA,Savoia-Marchetti SM-75,4,6,10,4,6
 Italy,1940-03-16,Ala Littoria,Savoia Marchetti SM 73,10,4,14,10,4
 Scotland,1940-04-22,British Overseas Airways,Lockheed 14 Super Electra,2,3,5,2,3
 Gulf of Finland,1940-06-14,Aero O-Y,Junkers JU-52/3mge,7,2,9,7,2
 Germany,1940-08-09,Deutsche Lufthansa,Douglas DC-2-115H,10,3,2,2,0
,1940-08-22,Aeroput,Lockheed 10 Electra,9,2,11,9,2
 Romania,1940-08-23,LARES,Douglas DC-3,12,3,15,12,3
 Virginia,1940-08-31,Pennsylvania Central Airlines,Douglas DC-3,21,4,25,21,4
 Croatia,1940-10-22,Aeroput,Lockheed 10 Electra,9,3,7,4,3
 China,1940-10-29,China National Aviation Corporation,Douglas DC-2,10,4,9,8,1
 Germany,1940-10-29,Deutsche Lufthansa,Douglas DC-3,12,3,2,0,2
 Bolivia,1940-11-04,Lloyd Aero Boliviano SA,Junkers Ju-52/3m,14,3,17,14,3
 Utah,1940-11-04,United Air Lines,Douglas DC-3,8,2,10,8,2
 Brazil,1940-11-08,VASP,Junkers Ju53/2m,14,4,18,14,4
 Germany,1940-11-08,Deutsche Lufthansa,Junkers JU-90A-1,23,6,29,23,6
 Illinois,1940-12-04,United Air Lines,Douglas DC-3A,13,3,10,7,3
 Italy,1940-12-24,Ala Littolia,Savoia-Marchetti SM.75,3,4,7,3,4
 Brazil,1941-01-15,LATI,Savoia-Marchetti SM-75,6,4,10,6,4
 Hungary,1941-01-17,Malert Airlines,Junkers JU-52/3m,13,3,12,9,3
 China,1941-01-20,China National Aviation Corporation,Ford 5-AT Tri-Motor,1,5,5,1,4
 Missouri,1941-01-23,Trans Continental and Western Air,Douglas DC-3-3,10,3,2,1,1
 ON,1941-02-06,Trans Canada Air Lines,Lockheed 14-H2 Super Electra,9,3,12,9,3
 Georgia,1941-02-26,Eastern Air Lines,Douglas DC-3,13,3,9,6,3
 Norway,1941-03-01,Deutsche Lufthansa,Junkers JU-52/3m,9,3,3,3,0
 South Africa,1941-03-28,South African Airways,Lockheed 18 Lodestar,6,4,10,6,4
 Romania,1941-06-18,LARES,Douglas DC-3,3,15,0,0,0
 Italy,1941-07-30,Ala Littoria,Macchi C.100,20,5,5,5,0
 Brazil,1941-08-18,Panair do Brasil,Lockheed 18 LodeStar,10,4,8,5,3
 Australila,1941-08-27,Airlines of Australia,de Havilland DH.80 Puss Moth,2,1,3,2,1
 France,1941-09-01,Air France,Bloch 220,14,3,15,12,3
 Puerto Rico,1941-10-03,Pan American World Airways,Sikorsky S-42B (flying boat),9,6,2,2,0
 bulgaria,1941-10-28,Deutsche Lufthansa,Junkers JU-53/3m,10,3,13,10,3
 Minnesota,1941-10-30,Northwest Orient Airlines,Douglas DC-3,13,2,14,13,1
 Ontario,1941-10-30,American Airlines,Douglas DC-3,17,3,20,17,3
 Turkmenistan,1941-11-29,Aeroflot,Tupolev ANT-6,31,5,7,5,2
 Kazakhstan,1941-12-26,Aeroflot,Tupolev ANT-6,28,6,26,21,5
 Indonesia,1941-12-29,BOAC,Short S-23 Empire Flying Boat,0,4,4,0,4
 Nevada,1942-01-16,Trans Continental and Western Air,Douglas DC-3,19,3,22,19,3
 Timor,1942-01-26,KNILM,Grumman G-21 Goose,2,3,5,2,3
 Timor,1942-01-30,Qantas,Short S-23 (flying boat),13,5,13,11,2
 near Plymouth,1942-02-15,British Overseas Airways,Consolidated Liberator,4,5,9,4,5
 Brisbane,1942-02-20,Qantas,deHavilland DH-86,7,2,9,7,2
 Australia,1942-03-03,Military - U.S. Army Air Force,Consolidated B-24 Liberator,19,2,20,18,2
 China,1942-03-14,China National Aviation Corporation,Douglas DC-2-221,14,3,13,10,3
 Utah,1942-05-01,United Air Lines,Douglas DST-A-207A,14,3,17,14,3
 Montana,1942-05-12,Northwest Orient Airlines,Douglas DC-3-A-269,10,4,3,0,3
 Italy,1942-05-19,LATI,Savoia-Marchetti SM-75,16,4,20,16,4
 West Virginia,1942-07-01,Military - U.S. Army Air Forces,Douglas C-49E,19,2,21,19,2
 Australia,1942-07-07,Military - Royal Australian Air Force,Lockheed Hudson,0,10,10,0,10
 England,1942-07-20,Military - Royal Air Force,Lockheed Hudson,10,3,13,10,3
 Algeria,1942-08-13,Air France,Liore et Olivier H-246 Air Boat,6,4,4,4,0
 Algeria,1942-09-27,Air France,Dewoitine D-342,18,7,25,18,7
 Brazil,1942-09-28,Panair do Brasil SA,Lockheed 18 Loadstar,11,4,15,11,4
 Puerto Rico,1942-10-01,Military - U.S. Army Air Forces,Douglas C-39-DO  (DC-2),17,5,22,17,5
 Newfoundland,1942-10-03,American Export Airlines,Sirkorsky 44A (flying boat),26,11,11,6,5
 Russia,1942-10-22,Aeroflot,GVF PS-84,7,5,10,5,5
 Romania,1942-10-22,Deutsche Lufthansa,Junkers JU-52/3m,14,3,17,14,3
 California,1942-10-23,American Airlines / Military - USAF,Douglas DC-3 / Lockheed B-34,10,3,12,10,2
 Colombia,1942-10-24,Avianca,Boeing 247,4,2,6,4,2
 Russia,1942-11-17,Kranoyarskie Vozhjushnye Trassy,Grazhdansky Vozdushnyi Flot PS-84,16,4,20,16,4
 Utah,1942-12-15,Western Airlines,Douglas DC-3A,15,4,17,13,4
 Austria,1942-12-19,DDL,Junkers JU-52/3m,13,3,2,2,0
 British Columbia,1942-12-20,Canadian Pacific Air Lines,Lockheed 14-H2 Super Electra,10,3,13,10,3
 Marine Base,1943-01-09,British Overseas Airways,Short S-26 (flying boat),11,4,13,10,3
 Dutch Guyana,1943-01-15,Military - U.S. Army Air Forces,Douglas C-54A,26,9,35,26,9
  Atlantic Ocean,1943-01-18,Military - U.S. Army Air Forces,Consolidated C-87,20,6,26,20,6
 California,1943-01-21,Pan American World Airways,Martin M-130 (flying boat),10,9,19,10,9
 Peru,1943-01-22,Pan American Grace Airlines,Douglas DC-3A,11,4,14,10,4
 Portugal,1943-02-22,Pan American World Airways,Boeing B-314 (flying boat),33,6,25,20,5
 Queensland,1943-03-27,Military - Royal Australian Air Force,Douglas C-47-DL,20,4,24,20,4
 New Guinea,1943-04-22,Qantas,Short S-23,27,4,13,11,2
 North Carolina,1943-06-07,Military - U.S. Army Air Forces,Douglas C-47A-DL,16,4,20,16,4
  New Caledonia,1943-06-08,Military - US Navy,Douglas C-47 Skytrain (DC-3),3,20,23,3,20
 OLD,1943-06-14,Military - U.S. Army Air Forces,B-17C Flying Fortress,35,6,40,34,6
 Kentucky,1943-07-28,American Airlines,Douglas DC-3,18,4,20,16,4
 Australia,1943-08-07,Military - U.S. Air Force,Douglas C-47-DL,23,4,27,23,4
 Greece,1943-08-14,LATI,Savoia-Marchetti SM.75,13,4,17,13,4
 Brazil,1943-08-27,VASP,Junkers JU-52/3m,18,3,18,18,3
 North Carolina,1943-09-20,Military - U.S. Army Air Forces,Douglas C-53D-DO,21,4,25,21,4
 India,1943-09-22,Military - U.S. Army Air Forces,Douglas C-53,15,5,20,15,5
 Tennessee,1943-10-15,American Airlines,Douglas DC3-G102,11,4,15,11,4
 Quebec,1943-10-19,Military - Royal Canadian Air Force,Consolidated B-24,20,4,24,20,4
 Sweden,1943-10-22,AB Aerotransport,Douglas DC-3,12,3,13,12,3
 Georgia,1943-10-22,Military - U.S. Army Air Forces,Douglas C-47-DL,15,5,20,15,5
 Scotland,1943-12-17,British Overseas Airways,Lockheed 18-56 Lodestar,7,3,10,7,3
 Australia,1943-12-19,Military - U.S. Air Force,Douglas C-47A-60-DL,27,4,31,27,4
 Yugoslavia,1944-01-15,Deutsche Lufthansa,Junkers JU-52/3m,3,2,5,3,2
 Tennessee,1944-02-10,American Airlines,Douglas DC-3,21,3,24,21,3
 Greece,1944-02-21,Deutsche Lufthansa,Junkers JU-52/3m,13,3,16,13,3
 Yugoslavia,1944-04-17,Deutsche Lufthansa,Junkers JU-52/3m,4,3,5,4,1
 Norway,1944-04-21,Deutsche Lufthansa,Douglas DC-3,17,3,9,6,3
 France,1944-06-06,Military - U.S. Army Air Forces,Douglas C-47A,18,4,22,18,4
 France,1944-06-06,Military - U.S. Army Air Forces,Douglas C-47A,17,5,22,17,5
 France,1944-06-06,Military - U.S. Army Air Forces,Douglas C-47A-DL,18,4,22,18,4
 Brazil,1944-06-20,Varig,Lockheed 10C Electra,8,2,10,8,2
 Maine,1944-07-11,Military - U.S. Army,Douglas A-26B Invader,0,2,2,0,2
 Papua New Guinea,1944-07-23,Military - US Navy,R4D-5,15,2,17,15,2
 Scotland,1944-07-27,Military - U.S. Army Air Forces,Douglas C-47A-DK,17,5,22,17,5
 Nebraska,1944-08-03,Military - U.S. Army Air Forces,Douglas C-47A-DL,24,4,28,24,4
 Cuba,1944-08-08,Pan American World Airways,Sikorsky S-42 (flying boat),26,5,17,17,0
 Scotland,1944-08-28,Military - U.S. Army Air Forces,Douglas C-54A-DC (DC-4),14,6,20,14,6
 Västergötland,1944-08-29,British Overseas Airways,Lockheed 18-56 Loadstar,12,3,11,8,3
 Brazil,1944-08-30,Panair do Brasil,Lockheed 18 Lodestar,14,4,18,14,4
 Yugoslavia,1944-09-02,Deutsche Lufthansa,Junkers JU52/3m,2,3,5,2,3
 Queensland,1944-09-07,Military - Royal Netherlands East Indies Air Force,C-47 Dakota DT-941,16,4,20,16,4
 Brazil,1944-09-21,Panair do Brasil,Lockheed 18 Lodestar,13,4,17,13,4
 France,1944-09-27,Deutsche Lufthansa,Focke-Wulf FW 200,5,4,9,5,4
 Australia,1944-10-11,Qantas,Short S.23 Empire Flying Boat,22,7,1,1,0
 Norway,1944-10-16,Deutsche Lufthansa,Junkers JU-52/3m,12,3,15,12,3
,1944-10-17,Deutsche Lufthansa,Junkers JU-52/3m,6,3,1,1,0
 California,1944-11-04,Trans Continental and Western Air,Douglas DC-3,21,3,24,21,3
 Florida,1944-11-06,Military - US Navy,Douglas C-47 Skytrain (DC-3),14,3,17,14,3
 England,1944-11-19,Military - U.S. Army Air Forces,Douglas C-47A-DL,25,5,25,20,5
 Sweden,1944-11-29,Deutsche Lufthansa,Focke-Wulf FW 200,6,4,10,6,4
 California,1944-12-01,Trans Continental and Western Air,Douglas DC-3,14,3,9,6,3
 Ukraine,1944-12-07,Aeroflot,Lisunov LI-2,11,5,16,11,5
 California,1945-01-10,American Airlines,Douglas DC-3,21,3,24,21,3
 Australia,1945-01-31,Australian National Airways,Stinson Model A,8,2,10,8,2
 Italy,1945-02-02,Military - U.S. Army Air Forces,Douglas C-47-DL,22,4,23,21,2
 England,1945-02-06,Military -Royal Air Force,Douglas C-47 Dakota,19,4,23,19,4
 California,1945-02-13,Military - U.S. Navy,Douglas R4D-6,21,3,24,21,3
 Brazil,1945-02-15,Navegacao Aerea Brasileira,Lockheed 18 Loadstar,7,4,11,7,4
 Poland,1945-02-23,Military - German Army,Junkers 52/3m,8,0,8,8,0
 Virginia,1945-02-23,American Airlines,Douglas DC-3,19,3,17,15,2
 off Australia,1945-03-27,Military - U.S. Air Force,Douglas C-47A-90-DL,20,4,24,20,4
 West Virginia,1945-04-14,Pennsylvania Central Airlines,Douglas DC-3,17,3,20,17,3
 Australia,1945-04-19,Military - U.S. Navy,Douglas DC-3,11,2,13,11,2
 Texas,1945-04-20,Military - U.S. Army Air Forces,Douglas C-47-DL,22,3,25,22,3
 Isle of Man,1945-04-23,Military - U.S. Air Force,B17G Flying Fortress,26,5,31,26,5
 New Guinea,1945-05-05,Military - U.S. Army Air Forces,Douglas C-54E-DO (DC-4),15,6,21,15,6
 England,1945-05-06,Military - U.S. Army Air Forces,Curtiss-Wright C-46D-CU,25,5,30,25,5
 New Guinea,1945-05-13,Military - U.S. Army Air Forces,Douglas C-47B-DK,19,4,20,16,4
 Ivory Coast,1945-05-30,Military - U.S. Army Air Forces,Douglas C-47B-dK,18,3,21,18,3
 Australia,1945-06-24,Mac Robertson Miller Airlines,de Havilland DH-86A,9,2,2,1,1
 Kenya,1945-07-11,Military - South African Air Force,Douglas C-47,24,4,28,24,4
 South Carolina,1945-07-12,Eastern Air Lines / Military - U.S. Army Air Corps,Douglas DC-3-201C /  Army A-26,4,6,3,1,2
 New York,1945-07-28,Military - U.S. Army Air Forces,North American B-25D bomber,1,2,3,1,2
 Mexico,1945-08-01,Lineas Aereas Mineras,Boeing 247D,9,3,12,9,3
 Martinique,1945-08-03,Pan American World Airways,Sikorsky S-43 (flying boat),10,4,4,4,0
 Mexico,1945-08-11,Mexicana,Douglas DC-2-243,12,4,16,12,4
 South Carolina,1945-09-07,Eastern Air Lines,Douglas DC-3,19,3,22,19,3
 New Guinea,1945-09-11,Military - Royal Australian Air Force,Douglas C-47A,7,4,11,7,4
 Missouri,1945-09-15,Military - U.S. Army Air Forces,Douglas C-47B-DK,21,3,23,20,3
 Papua New Guinea,1945-09-18,Military - Royal Australian Air Force,Douglas C-47B-5-DK,26,3,29,26,3
 China,1945-09-28,Military - United States Army Air Force,Curtiss C-46D,17,3,20,17,3
 Florida,1945-10-05,National Airlines,Lockheed 18 Lodestar,12,3,2,2,0
 China,1945-10-16,Military - U.S. Army Air Forces,Curtiss-Wright C-46F-CU,55,4,59,55,4
 Atlantic Ocean,1945-10-20,Military - Royal Australian Air Force,Douglas C-47B,21,4,25,21,4
 India,1945-10-23,Military - Royal Air Force,Douglas C-47B,12,2,14,12,2
 Peru,1945-10-24,Faucett,Faucett F-19,4,1,5,4,1
 Malta,1945-10-24,BOAC,Douglas C-47 Skytrain (DC-3),13,3,9,9,0
 China,1945-10-30,Military - U.S. Army Air Forces,Curtiss-Wright C-46A-CK,46,4,45,44,1
 Germany,1945-11-01,Military - U.S. Army Air Forces,Douglas C-47A-DK,26,4,26,22,4
 India,1945-11-03,Military - U.S. Army Air Forces,Douglas C-54G,40,4,44,40,4
 Italy,1945-11-09,Military - U.S. Army Air Forces,Douglas C-47A-DL,20,4,24,20,4
 Italy,1945-11-11,Military - U.S. Army Air Forces,Boeing B-17G,16,4,20,16,4
 Montana,1945-12-08,Military - U.S. Army,Douglas C-47,19,2,17,15,2
 Norway,1945-12-18,Military - Royal Air Force,Douglas C-47B,13,4,17,13,4
 French Equatorial Africa,1945-12-25,Air France,Lockheed 18 Lodestar,5,3,8,5,3
 New York,1945-12-30,Eastern Air Lines,Douglas DC-3,9,3,1,1,0
 Alabama,1946-01-06,Pennsylvania Central Airlines,Douglas DC-3,7,4,3,0,3
 France,1946-01-15,Military -Royal Air Force,Douglas C-47 Dakota,21,4,23,19,4
 Connecticut,1946-01-18,Eastern Air Lines,Douglas DC-3-201E,14,3,17,14,3
 Wyoming,1946-01-31,United Air Lines,Douglas DC-3-194H,18,3,21,18,3
 California,1946-03-03,American Airlines,Douglas DC-3-227B,24,3,27,24,3
 Tasmania,1946-03-10,Australian National Airways,Douglas DC-3 (C-47DL),21,4,25,21,4
 Cocos Islands,1946-03-23,British Overseas Airways /Qantas,Avro 691 Lancastrian 1,5,5,10,5,5
 Virginia,1946-05-16,Viking Air Transport,Douglas DC-3,25,2,27,25,2
 Norway,1946-05-22,DNL Norwegian Air Lines,Junkers JU-52/3m,11,3,13,10,3
 Italy,1946-06-01,Military - U.S. Army Air Forces,Douglas C-54-DO (DC-4),30,8,30,26,4
 Panama,1946-06-09,Military - U.S. Army Air Forces,Douglas C-54D-DC (DC-4),17,6,23,17,6
 Nigeria,1946-06-09,Military -Royal Air Force,Douglas C-47 Dakota,12,6,18,12,6
 France,1946-06-29,Air France,Junkers Ju-52/3m,0,3,2,0,2
 Pennsylvania,1946-07-11,Trans Continental and Western Air,Lockheed L-049 Constellation,0,6,5,0,5
 Ecuador,1946-07-17,ANDESA,Curtiss C-46D-10-CU,27,3,30,27,3
 Burma,1946-07-25,Military -Royal Air Force,Douglas C-47 Dakota,18,4,22,18,4
 Norway,1946-08-07,British European Airways,Douglas C-47A-10-DK,11,5,3,0,3
 Malta,1946-08-14,BOAC,Douglas C-47A,0,5,1,0,1
 France,1946-08-20,British Overseas Airways,Avro 691 Lancastrian 1,0,9,8,0,8
 Illinois,1946-08-21,Trans Luxury Airlines,Douglas C-47-DL,22,3,2,0,2
 Denmark,1946-09-03,Air France,Douglas DC-3 (C-53D-DO),17,5,22,17,5
 France,1946-09-04,Air France,Douglas DC-3,21,5,20,18,2
 Nevada,1946-09-05,Trans-Luxury Airlines,Douglas DC-3 (C-47-A5-DL),19,3,21,18,3
 Gambia,1946-09-07,British South American Airways,Avro 685 York I,20,4,24,20,4
 Belgium,1946-09-17,Sabena,Douglas C-47-DL,4,3,1,0,1
 Newfoundland,1946-09-18,Sabena,Douglas DC-4-1009,37,7,27,21,6
 Brazil,1946-09-27,Panair do Brasil,Douglas DC-3A-228D,22,3,25,22,3
 Newfoundland,1946-10-03,American Overseas Airlines,Douglas C-54E-5-DO,31,8,39,31,8
 Wyoming,1946-10-08,United Air Lines,Douglas DC-4,37,4,2,2,0
 Morocco,1946-10-10,Air Ocean,Junkers Ju-52/3m,11,5,16,11,5
 Wyoming,1946-10-17,National Air Transport Services,Douglas DC-3,10,3,13,10,3
 Egypt,1946-10-23,Socotra,Junkers JU-52/3m,22,2,1,1,0
 France,1946-11-01,CTA Languedoc Roussillon,AAC-1 Toucan,24,3,23,20,3
 Ohio,1946-11-11,United Air Lines,Douglas DC-3 (C-53D-DO),17,3,2,0,2
 California,1946-11-13,Western Airlines,Douglas C-53D-DO (DC-3),8,3,11,8,3
 Netherlands,1946-11-14,KLM Royal Dutch Airlines,Douglas C-47A-90 DL (DC-3),21,5,26,21,5
 Costa Rica,1946-11-26,Lineas Aéreas Costarricenses  LACSA,Douglas DC-3 (C-47A-90-DL),20,2,22,20,2
 Argentina,1946-11-30,Fuerza Aérea Argentina,Vickers 620 Viking 1,15,3,5,2,3
 Japan,1946-12-10,Military - U.S. Army Air Forces,Curtiss-Wright C-46F-CU,19,5,24,19,5
 Philippines,1946-12-14,Far Eastern Air Transport,Douglas DC-3 (C-47-B-1-DK),10,4,12,9,3
 Atlantic Ocean,1946-12-17,Winged Cargo Inc.,Douglas C-47A,5,2,7,5,2
 Brazil,1946-12-23,FAMA (Argentina),Avro  685 York I,15,6,21,15,6
 California,1946-12-24,Western Airlines,Douglas DC-3 ( C-53D-DO),9,3,12,9,3
 Illinois,1946-12-28,Kansas City Southern Skyways,Douglas C-47A,0,2,2,0,2
 Ireland,1946-12-28,Trans Continental and Western Air,Lockheed 049 Consellation,14,9,13,9,4
 Indiana,1946-12-28,American Airlines,Douglas DC-3 (C-50A-DO),18,3,2,0,2
 Brazil,1947-01-03,Panair do Brasil,Sikorsky S-43B (flying boat),11,3,11,8,3
 New Jersey,1947-01-05,Nationwide Air Transport,Douglas DC-3,20,3,3,2,1
 England,1947-01-11,British Overseas Airways,Douglas C-47A-1-DK,11,5,8,4,4
 China,1947-01-11,Far Eastern Air Transport,Douglas DC-4 (C-54A-DO),37,5,7,7,0
 Virginia,1947-01-12,Eastern Air Lines,Douglas DC-3,16,3,18,15,3
 Mexico,1947-01-14,Military - Mexican Air Force,Lockheed C-60 Lodestar,17,4,21,17,4
 Colombia,1947-01-22,AVIANCA,Douglas DC-3 ( C-47-DO),13,4,17,13,4
 Surrey,1947-01-25,Spencer Airways / Ceskoslovenske Aerolinie,Douglas C-47 / Douglas DC-3,18,5,12,11,1
 Denmark,1947-01-26,KLM Royal Dutch Airlines,Douglas C- C47A-30DK,18,4,22,18,4
 Portugal,1947-02-01,Air France,Douglas DC-3C,15,5,19,14,5
 Delaware,1947-02-05,International Air Freight,Douglas DC-3,0,3,1,0,1
 Spain,1947-02-06,Aerovias Cuba International,Douglas C-54B-15-DO,8,3,11,8,2
 Colorado,1947-02-14,Slick Airways,Curtiss C-46E,0,2,2,0,2
 Colombia,1947-02-15,AVIANCA,Douglas DC-4,49,4,53,49,4
 Italy,1947-02-15,Military - Corrieri Aerei Militari,Savoia-Marchetti SM-95,10,6,16,10,6
 Pacific Ocean,1947-02-26,Military - Royal Air Force,Douglas C-47B,9,3,12,9,3
 USSR,1947-03-05,Aeroflot,Doublas C-47,19,4,23,19,4
 Italy,1947-03-08,Military - Royal Air Force,Douglas C-47B,10,3,13,10,3
 Colombia,1947-03-08,VIARCO,Douglas C-47-DL,5,4,9,5,4
 France,1947-03-14,Air France,Douglas DC-3 (C-47A-90-DL),18,5,23,18,5
 Colombia,1947-03-17,TACA,Lockheed 18 Lodestar,5,3,8,5,3
 Sri Lanka,1947-03-18,Military - Royal Air Force,Avro York C1,9,6,11,7,4
 Senegal,1947-04-13,British South American Airways,Avro 685 York I,9,6,6,6,0
 Georgia,1947-04-22,Delta Air Lines,Douglas DC-3 (C-47DL) /Vultee BT-13,8,2,10,8,2
 British Columbia,1947-04-28,Trans Canada Air Lines,Lockheed 18 Loadstar,12,3,15,12,3
 Guanacaste,1947-05-04,TACA,Lockheed 18 Loadstar,9,2,11,9,2
 New Jersey,1947-05-11,Trans Continental and Western Air,Lockheed L-049 Constellation,0,4,4,0,4
 Russia,1947-05-16,Aeroflot,Douglas DC-47,17,5,22,17,5
 Queens,1947-05-29,United Air Lines,Douglas C-54B,44,4,43,41,2
 Japan,1947-05-29,Military - U.S. Army Air Forces,Douglas C-54D-DC (DC-4),33,7,40,33,7
 Iceland,1947-05-29,Flugefelag,Douglas DC-3,21,4,25,21,4
 Maryland,1947-05-30,Eastern Air Lines,Douglas C-54B-15-DO,49,4,53,49,4
 France,1947-06-04,Air France,Junkers Ju-52,0,2,2,0,2
 Virginia,1947-06-13,Pennsylvania Central Airlines,Douglas DC-4 (C-54-DO),47,3,50,47,3
 Syria,1947-06-19,Pan American World Airways,Lockheed 049-46-21 Constellation,27,9,14,7,7
 French Cameroons,1947-07-01,Air France,Junkers JU-52/3m,10,3,13,10,3
 Florida,1947-07-13,Burke Air Transport,Douglas DC-3,33,3,14,12,2
 Iran,1947-07-16,British Overseas Airways,Avro 685 York,0,6,6,0,6
 Argentina,1947-07-25,Flota Aérea Mercante Argentina,Avro 685 York I,0,6,2,0,2
 Argentina,1947-08-02,British South American Airways,Avro 691 Lancastrian 3,6,5,11,6,5
 New York,1947-08-08,American Airlines,Douglas DC-3C,3,2,3,1,2
 Sweden,1947-08-09,AB Aerotransport,Douglas DC-3F,0,5,1,0,1
 Utah,1947-08-21,Slick Airways,Curtiss C-46E,1,2,3,1,2
 Persian Gulf,1947-08-23,British Overseas Airways,Short Sandringham 5 (flying boat),18,8,10,7,3
 Norway,1947-08-28,Norwegian Airlines,Short Sandringham (flying boat),27,8,35,27,8
 Texas,1947-10-08,American Airlines,Douglas DC-4,49,5,0,0,0
