PaisAccidente,Fecha,OperadorAerolinea,TipoAeronave,PasajerosABordo,TripulacionABordo,CantidadFallecidos,MuertesPasajeros,MuertesTripulacion
 near Point Barrow,1935-08-15,Private,Lockheed Orion 9E Explorer float plane,1,1,2,1,1
 Wyoming,1935-08-15,Aero Mayflower Transit Co,Waco. model YLC,2,1,3,2,1
 California,1935-09-01,Western Air Express,Boeing 247,0,3,3,0,3
 Victoria,1935-10-02,Holyman Airways,de Havilland DH-86,3,2,5,3,2
 Wyoming,1935-10-07,United Air Lines,Boeing 247D,9,3,12,9,3
 New York,1935-10-21,Chamberlin Flying Service,Curtiss AT-32C Condor,4,2,1,0,1
 Wyoming,1935-10-30,United Air Lines,Boeing B-247-D,0,4,4,0,4
 Brazil,1935-11-02,Air France,Latécoère 28-1,0,4,4,0,4
 Texas,1935-11-09,Braniff Airlines,Lockheed Vega,0,1,1,0,1
 Italy,1935-11-09,Imperial Airways,Short S-17 Kent,10,3,12,9,3
 France,1935-11-11,Air France,Latecoere 28,0,3,3,0,3
 France,1935-12-04,Air Bleu,Caudron C-630 Simoun,0,2,1,0,1
 England,1935-12-10,Sabena,Savoia-Marchetti SM73,7,4,11,7,4
 Poland,1935-12-24,Deutsche Lufthansa,Heinkel He-70,2,1,3,2,1
 Egypt,1935-12-31,Imperial Airways,Short S-8 Calcutta flying boat,9,4,12,9,1
 Arkansas,1936-01-14,American Airlines,Douglas DC-2-120,14,3,17,14,3
 Corsica,1936-01-21,Air France,CAMS 53,3,3,6,3,3
 Texas,1936-01-29,American Airlines,Vultee V-1,5,1,1,0,1
 Mexico,1936-03-26,Mexicana,Ford 5-AT-B Tri Motor,10,4,14,10,4
 New York,1936-04-01,American Airlines,Stinson Model A,0,2,2,0,2
 Pennsylvania,1936-04-07,Trans Continental and Western Air,Douglas DC-2-112,11,3,12,10,2
 Trinidad,1936-04-11,Pan American Airways,Sikorsky S-42A  Flying Boat,18,7,3,2,1
 Italy,1936-04-15,Avio Linee Italiane,OFM F-VIIb/3m,5,2,7,5,2
 Switzerland,1936-04-17,Deutsche Lufthansa,Junkers JU-52,0,5,3,0,3
 Switzerland,1936-04-30,Swissair,General Aviation GA-43,0,2,2,0,2
 Australia,1936-05-16,Holymans Airways,De Havilland DH-60 Moth,0,2,2,0,2
 Sweden,1936-06-09,A B Aerotransport,Fokker F-XXII,11,4,1,1,0
 Germany,1936-06-13,Deutsche Lufthansa,Junkers JU-160,4,2,1,1,0
 Norway,1936-06-16,Den Norske Luftfartskole,Junkers JU-52/3m,3,4,7,3,4
 Croatia,1936-07-15,Aeroput,Spartan Cruiser,5,2,7,5,2
 Jersey,1936-07-31,Guernsey Airways,Saro A-19 Cloud,8,2,10,8,2
 France,1936-08-02,Air France,Wibault 280,0,3,3,0,3
Mexico,1936-08-03,Mexicana,Lockheed 9 Orion,0,1,1,0,1
 Missouri,1936-08-05,Chicago Southern Airlines,Lockheed 10B Electra,6,2,8,6,2
 Germany,1936-08-12,British Airways,De Havilland DH-86,0,2,2,0,2
 Greece,1936-08-22,Imperial Airways,Short S-17 Kent,8,3,2,2,0
 Pennsylvania,1936-09-05,Pittsburgh Skyways Inc.,Stinson SM 6000B,10,1,10,9,1
 Libya,1936-09-24,Ala Littoria SA,CRDA CANT Z-506,7,3,9,7,2
 Colorado,1936-09-28,Varney Air Lines,Lockheed  5 Vega,1,2,3,1,2
 Illinois,1936-09-29,Blue Bird Air Service,Lockheed Vega 5C,3,1,4,3,1
  Tabasco,1936-10-06,Mexicana,Lockheed Orion,0,1,1,0,1
 North Yorkshire,1936-10-09,North Sea Aerial and General Transport,Blackburn B-2,0,1,1,0,1
 Germany,1936-11-01,Deutsche Lufthansa,Junkers JU-52,12,3,11,8,3
 Germany,1936-11-17,Deutsche Lufthansa,Junkers JU-52/3m,13,3,4,3,1
 England,1936-11-19,British Airways,Fokker F-XII,0,4,2,0,2
 France,1936-12-04,Deutsche Lufthansa,Junkers JU-52/3m,3,3,6,3,3
 Russia,1936-12-06,Deruluft,Antonov AN-9,11,3,9,7,2
 French West Africa,1936-12-07,Air France,Latécoère 300 (float plane.,1,4,5,1,4
 England,1936-12-09,KLM Royal Dutch Airlines,Douglas DC-2-115E,13,4,15,12,3
 Utah,1936-12-15,Western Air Express,Boeing 247D,4,3,7,4,3
 Idaho,1936-12-18,Northwest Orient Airlines,Lockheed 10 Electra,0,2,2,0,2
 Pennsylvania,1936-12-19,Eastern Air Lines,Douglas DC-2-112,8,3,0,0,0
 Texas,1936-12-23,Braniff Airways,Lockheed 10 Electra,4,2,6,4,2
 California,1936-12-27,United Air Lines,Boeing 247D,10,2,12,10,2
 Veracruz,1937-01-11,Mexicana,Lockheed 10E Electra,6,3,9,6,3
 California,1937-01-12,Western Air Express,Boeing 247D,11,2,5,4,1
 Algeria,1937-01-26,Sabena,Sabca S-73,8,4,12,8,4
 California,1937-02-09,United Air Lines,Douglas DC-3A,9,2,11,9,2
 Queensland,1937-02-19,Airlines of Australia,Stinson Model A,5,2,5,3,2
 Gambia,1937-03-12,Deutsche Lufthansa,Heinkel He-111V2,0,4,4,0,4
 France,1937-03-24,Imperial Airways,Short  S-23 (flying boat),1,5,5,1,4
 Pennsylvania,1937-03-25,Trans Continental and Western Air,Douglas DC-2-112,10,3,13,10,3
 Germany,1937-03-26,Deutsche Lufthansa,Junkers JU-52/3m,4,2,0,0,0
 New Jersey,1937-05-06,Deutsche Zeppelin Reederei,Zeppelin LZ-129,36,61,35,13,22
 Germany,1937-05-20,Deutsche Lufthansa,Heinkel He-70,2,2,4,2,2
 New Guinea,1937-07-02,Private - Purdue Reasearch Foundation,Lockheed 10E Electra,0,2,2,0,2
 Belgium,1937-07-28,KLM Royal Dutch Airlines,Douglas DC-2-115L,10,5,15,10,5
 Sudan,1937-08-02,Ala Littoria,Savoia-Marchetti SM73,5,4,9,5,4
 Panama,1937-08-02,Pan American Grace Airways,Sikorsky S-43,11,3,14,11,3
 Romania,1937-08-06,Aeroflot,Douglas DC-2,2,3,5,2,3
 Florida,1937-08-10,Eastern Air Lines,Douglas DC-2,7,2,4,2,2
 Argentina,1937-08-23,Pan American Grace Airways,Douglas DC-2,0,3,3,0,3
 Papua New Guinea,1937-08-27,Guinea Airways,Stinson SR-7 Reliant,0,1,1,0,1
 Greece,1937-10-01,Imperial Airways,Short Empire flying boat,9,5,2,2,0
 Netherlands Indies,1937-10-06,KLM Royal Dutch Airlines,Douglas DC-3,7,4,4,1,3
 Wyoming,1937-10-17,United Air Lines,Douglas DC-3,16,3,19,16,3
 Poland,1937-11-11,Lot Polish Airlines,Lockheed 10 Electra,9,2,4,2,2
 Germany,1937-11-12,Deutsche Lufthansa,Heinkel He-111,9,3,10,7,3
 Belgium,1937-11-16,Sabena,Junkers JU-52/3m,8,3,11,8,3
 United Kingdom,1937-11-26,Deutsche Lufthansa,Junkers JU-52,0,3,3,0,3
 Germany,1937-12-04,Ala Littoria,Junkers JU-52,14,3,4,4,0
 Italy,1937-12-05,Imperial Airways,Short S-23 (flying boat),4,4,2,1,1
 France,1937-12-08,Air France,Potez 621,6,1,2,1,1
 Czechoslovakia,1937-12-24,Air France,Wibault 283-T12,1,2,3,1,2
 Germany,1938-01-04,Lufthansa,Junkers JU-38,3,3,6,3,3
 Montana,1938-01-10,Northwest Orient Airlines,Lockheed 14H Super Electra,8,2,10,8,2
 U.S. Samoa,1938-01-11,Pan American World Airways,Sikorsky S-42 (flying boat),0,7,7,0,7
 Ontario,1938-01-12,General Airways,Stinson Reliant SR-9,0,1,1,0,1
 France,1938-02-09,Air France,Lioré-et-Olivier H-242,7,5,8,5,3
 France,1938-02-22,Deutsche Lufthansa,Junkers JU.52,0,0,3,0,0
 Cailifornia,1938-03-01,Trans Continental and Western Air,Douglas DC-2-112,6,3,9,6,3
