PaisAccidente,OperadorAerolinea,Fecha,LugarAccidente,TipoAeronave
 Granada,Union des Transportes Aeriens,1964-10-02,Near Trevelez- Granada- Spain,Douglas DC-6B
 Niger,Union des Transportes Aeriens,1989-09-19,Near Bilma- Niger,McDonnell Douglas DC-10-30
 Benin,Union des Transports Aeriens de Guinee,2003-12-25,Cotonou- Benin,Boeing B-727-223
 Burma (Myanmar),Union of Burma Airways,1955-09-02,Lanywa- Burma (Myanmar),Douglas DC-3
 Burma,Union of Burma Airways,1956-08-08,Thazi- Burma,Douglas DC-3
 Burma,Union of Burma Airways,1963-06-10,Mt. Kaolokung- Burma,Douglas DC-3
 Burma,Union of Burma Airways,1969-05-23,Near Lashio- Burma,Douglas C-47
 Indiana,United Air Lines,1933-10-10,Chesterton- Indiana,Boeing 247
 Oregon,United Air Lines,1933-11-09,Portland- Oregon,Boeing 247
 Wyoming,United Air Lines,1935-10-07,Near Cheyenne- Wyoming,Boeing 247D
 Wyoming,United Air Lines,1935-10-30,Cheyenne- Wyoming,Boeing B-247-D
 California,United Air Lines,1936-12-27,Newhall- California,Boeing 247D
 California,United Air Lines,1937-02-09,Off San Francisco- California,Douglas DC-3A
 Wyoming,United Air Lines,1937-10-17,Haydens Peak- Wyoming,Douglas DC-3
 Ohio,United Air Lines,1938-05-24,Cleveland- Ohio,Douglas DST-A-207A
 California,United Air Lines,1938-11-29,Off Point Reyes- California,Douglas DC 3-A-SB-3-G-14
 Utah,United Air Lines,1940-11-04,Near Centerville- Utah,Douglas DC-3
 Illinois,United Air Lines,1940-12-04,Chicago- Illinois,Douglas DC-3A
 Utah,United Air Lines,1942-05-01,Salt Lake City- Utah,Douglas DST-A-207A
 Wyoming,United Air Lines,1946-01-31,Mt. Elk- Wyoming,Douglas DC-3-194H
 Wyoming,United Air Lines,1946-10-08,Cheyenne- Wyoming,Douglas DC-4
 Ohio,United Air Lines,1946-11-11,Cleveland- Ohio,Douglas DC-3 (C-53D-DO)
 Queens,United Air Lines,1947-05-29,La Guardia Airport- Queens- New York,Douglas C-54B
 Utah,United Air Lines,1947-10-24,Bryce Canyon- Utah,Douglas DC-6
 Pennsylvania,United Air Lines,1948-06-17,Mount Carmel- Pennsylvania,Douglas DC-6
 Indiana,United Air Lines,1951-04-28,Fort Wayne- Indiana,Douglas DC-3
 near Ft. Collins,United Air Lines,1951-06-30,Rocky Mountain Nat. Park- near Ft. Collins- Colorado,Douglas DC-6B
 California,United Air Lines,1951-08-24,Decoto- California,Douglas DC-6B
 California,United Air Lines,1951-09-12,Off Redwood City- California,Boeing 377 Stratocruiser 10-34
 Colorado,United Air Lines,1951-12-04,Denver- Colorado,Douglas DC-3A
 Iowa,United Air Lines,1955-01-19,Des Moines- Iowa,Convair CV-340
 New York,United Air Lines,1955-04-04,Islip- New York,Douglas DC-6
 Wyoming,United Air Lines,1955-10-06,Near Centennial- Wyoming,Douglas DC-4
 Colorado,United Air Lines,1955-11-01,Longmont- Colorado,Douglas DC-6B
 Colorado,United Air Lines,1961-07-11,Denver- Colorado,McDonnell Douglas DC-8-12
 Maryland,United Air Lines,1962-11-23,Ellicott City- Maryland,Vickers Viscount 745D
 Tennessee,United Air Lines,1964-07-08,Knoxville- Tennessee,Caravelle VIR
 Tennesee,United Air Lines,1964-07-09,Parrottsville- Tennesee,Vickers Viscount 745D
 near Chicago,United Air Lines,1965-08-16,Lake Michigan- near Chicago- Illinois,Boeing B-727-22
 Utah,United Air Lines,1965-11-11,Salt Lake City- Utah,Boeing B-727-22
 California,United Air Lines,1969-01-18,Off Los Angeles- California,Boeing B-727-22QC
 Chicago,United Air Lines,1972-12-08,Midway Airport- Chicago- Illinois,Boeing B-737-222
 Utah,United Air Lines,1977-12-18,Near Salt Lake City- Utah,Douglas DC-8-54F
 Oregon,United Air Lines,1978-12-28,Portland- Oregon,McDonnell Douglas DC-8-61
 Michigan,United Air Lines,1983-01-11,Detroit- Michigan,McDonnell Douglas DC-8-54F37
 Hawaii,United Air Lines,1989-02-24,Honolulu- Hawaii,Boeing B-747-122
 Iowa,United Air Lines,1989-07-19,Sioux City- Iowa,McDonnell Douglas DC-10-10
 Colorado,United Air Lines,1991-03-03,Near Colorado Springs- Colorado,Boeing B-737-291
,United Air Lines,1997-12-28,Over the Pacific Ocean,Boeing B-747-122
 New York,United Air Lines,2001-09-11,New York City- New York,Boeing B-767-222
 Pennsylvania,United Air Lines,2001-09-11,Shanksville- Pennsylvania,Boeing B-757-222
 Arizona,United Air Lines / Trans World Airlines,1956-06-30,Grand Canyon- Arizona,Douglas DC-7 / Lockheed S Constellation
 New York,United Air Lines / Trans World Airlines,1960-12-16,Staten Island / Brooklyn- New York,MD DC-8-11 / Lockheed 1049 S Const
 California,United Air Services,1934-07-09,San Bernardino- California,Lockheed Vega
 South Africa,United Airways,1951-01-12,Ixopo- South Africa,de Havilland Dove 1
 South Africa,United Airways,1988-04-12,Near Hennenman- South Africa,Douglas DC-3C
 New Zealand,United Airways of New Zealand,1938-05-10,Mangere- New Zealand,Lockheed 10 Electra
 Italy,United Arab Airlines,1960-09-29,Off Elba- Italy,Vickers Viscount 739B
 Egypt,United Arab Airlines,1962-05-15,Near Cairo- Egypt,Douglas DC-3
 Thailand,United Arab Airlines,1962-07-19,Near Bangkok- Thailand,de Havilland Comet 4C
 Egypt,United Arab Airlines,1963-05-12,Near Ayayda- Egypt,Douglas DC-3
 Maharashtra,United Arab Airlines,1963-07-27,Off Bandra- Maharashtra- India,de Havilland Comet 4C
 Egypt,United Arab Airlines,1966-03-18,Cairo- Egypt,Antonov AN-24B
 Egypt,United Arab Airlines,1968-01-15,Zifta- Egypt,Douglas DC-3
 Egypt,United Arab Airlines,1968-08-18,Off Port Said- Egypt,Antonov AN-24V
 Egypt,United Arab Airlines,1969-03-20,Near Aswan- Egypt,Ilyushin IL-18D
 Libya,United Arab Airlines,1971-01-02,Ben Gashir- Libya,de Havilland Comet 4C
 Washington,United Express,1989-12-26,Pasco- Washington,British Aerospace 3101 Jetstream 31
 Katanga,United Nations,1962-09-20,Kamunza-Goi- Katanga,Douglas C-47 Skytrain
 Congo,United Nations,2011-04-04,Kinshasa- Congo,Canadair CL-600 CRJ-100ER
 Nepal,United Nations Mission,2008-03-03,Near Bethani- Nepal,Mi-17
 Alabama,United Parcel Service,2013-08-14,Birmingham- Alabama,Airbus A300F-622R
 United Arab Emirates,United Parcel Service- UPS,2010-09-03,Dubai- United Arab Emirates,Boeing B747-44AF
 Ohio,Universal Airlines,1928-11-24,Edgerton- Ohio,Hamilton H-47
 South Korea,Universal Airlines,1989-07-27,Off Ullung Do- South Korea,Sikorsky S-58T
 Mississippi,Universal Airways,1979-03-01,Gulfport- Mississippi,Beech BE-70
 Florida,Universal Jet Aviation,2000-06-23,Boca Raton- Florida,Learjet 55
 Pennsylvania,Universal Jet Aviation,2001-11-22,Pittsburgh- Pennsylvania,Learjet 25B
 Wisconson,University of Michigan Health System,2007-06-04,Near Milwaukee- Wisconson,Cessna 550 Citation II
 Angola,Uralex,2000-03-25,Huambo- Angola,Antonov AN-32
 Bolivia,Urcupina,1981-04-06,Laguna Soliz- Bolivia,Douglas C-47A
 Uruguay,Uruguayan Air Force,1978-02-10,Near Artigas- Uruguay,Douglas C-47A-DL
 Chile,Uruguayan Air Force - TAMU,1972-10-13,Near San Fernando- Chile,Fairchild-Hiller FH-227D/LCD
 New Jersey,US Aerial Mail Service,1918-12-16,Elizabeth- New Jersey,De Havilland DH-4
 Ohio,US Aerial Mail Service,1919-05-25,Cleveland- Ohio,De Havilland DH-4
 Pennsylvania,US Aerial Mail Service,1919-07-19,Dix Run- Pennsylvania,De Havilland DH-4
 Maryland,US Aerial Mail Service,1919-10-14,Cantonsville- Maryland,Curtiss R-4LM
 New Jersey,US Aerial Mail Service,1919-10-30,Long Valley- New Jersey,De Havilland DH.4
 Indiana,US Aerial Mail Service,1920-03-10,New Paris- Indiana,De Havilland DH-4
 New Jersey,US Aerial Mail Service,1920-03-30,Newark- New Jersey,De Havilland DH-4
 New Jersey,US Aerial Mail Service,1920-04-10,Newark- New Jersey,Curtiss R-4LM
 New Jersey,US Aerial Mail Service,1920-04-11,Heller Field- New Jersey,Curtiss JN-4H
 Iowa,US Aerial Mail Service,1920-05-12,Oskaloosa- Iowa,De Havilland DH-4
 Ohio,US Aerial Mail Service,1920-06-06,Cleveland- Ohio,De Havilland DH-4
 Maryland,US Aerial Mail Service,1920-08-16,College Park- Maryland,De Havilland DH-4
 New Jersey,US Aerial Mail Service,1920-09-01,Morristown- New Jersey,Junkers JL-6
 Ohio,US Aerial Mail Service,1920-09-15,Pemberville- Ohio,Junkers F-13
 Pennsylvania,US Aerial Mail Service,1920-09-27,Hillersburg- Pennsylvania,De Havilland DH-4
 Illinois,US Aerial Mail Service,1920-10-15,Batavia- Illinois,De Havilland DH-4
 Wyoming,US Aerial Mail Service,1920-11-07,Tie Siding- Wyoming,De Havilland DH-4
 Minnisota,US Aerial Mail Service,1921-02-03,Mendotta- Minnisota,De Havilland DH-4
 Wisconsin,US Aerial Mail Service,1921-02-09,La Crosse- Wisconsin,Junkers F-13
 Nevada,US Aerial Mail Service,1921-02-22,Elko- Nevada,De Havilland DH-4
 NY,US Aerial Mail Service,1921-04-21,Mitchel Field- NY,De Havilland DH-4
 Ohio,US Aerial Mail Service,1921-04-29,Cleveland- Ohio,De Havilland DH-4
 Wyoming,US Aerial Mail Service,1921-05-17,Rock Springs- Wyoming,De Havilland DH-4 De Havilland DH-4
 Indiana,US Aerial Mail Service,1922-09-07,Indianapolis- Indiana,De Havilland DH-4
 Wyoming,US Aerial Mail Service,1923-01-18,Cheyenne- Wyoming,De Havilland DH-4
 Pennsylvania,US Aerial Mail Service,1923-02-26,Meadville- Pennsylvania,De Havilland DH-4
 Ohio,US Aerial Mail Service,1923-09-07,Colton- Ohio,De Havilland DH-4
 Ohio,US Aerial Mail Service,1923-12-06,Castalia- Ohio,De Havilland DH-4
 WY,US Aerial Mail Service,1923-12-24,Egbert- WY,De Havilland DH-4
